نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
أرض,سكني, الرياض , حي المونسية ,شرقية,2520,4400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11088000
فيلا,سكني, الرياض , حي المهدية ,شمالية,200,-,6,2,5+,20,1,1,1,0,1,1,0,0,1,1,1500000
أرض,سكني, الرياض , حي طيبة ,شرقية,8664,1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9530400
أرض,تجاري وسكني, الرياض , ضاحية نمار ,شمالية شرقية,375,1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,750,4900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3675000
أرض,سكني, الرياض , حي الربيع ,غربية,750,7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5250000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,438,1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525600
فيلا,سكني, الرياض , حي المونسية ,غربية,300,-,4,2,5+,-,1,1,1,0,1,1,0,0,1,1,2200000
أرض,تجاري وسكني, الرياض , حي الرمال ,ثلاث شوارع,8100,2550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20655000
أرض,سكني, الرياض , حي عرقة ,غربية,653,4800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3134400
أرض,سكني, الرياض , حي الرمال ,شمالية,402,2700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1085400
فيلا,سكني, الرياض , حي النهضة ,غربية,375,-,7+,4,5+,20,1,1,1,1,1,1,0,0,1,1,2200000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,928,668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,619904
أرض,تجاري, حريملاء, الرياض ,جنوبية,780,1150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,897000
أرض,سكني, الرياض , حي اشبيلية ,جنوبية شرقية,4733,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21298500
أرض,سكني, الرياض , حي بدر ,غربية,900,1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1170000
أرض,سكني, حي الرمال , ,شرقية,360,19780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7120800
أرض,سكني, الرياض , حي ضاحية نمار ,شرقية,1062,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1062000
أرض,سكني, الرياض , حي الازدهار ,جنوبية,1493,13395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19998735
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,400,3400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1360000
أرض,سكني, الرياض , حي الرمال ,شرقية,1560,6150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9594000
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية شرقية,400,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000000
أرض,سكني, الرياض , حي الخليج ,شمالية غربية,600,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1560000
فيلا,سكني, الرياض , حي اشبيلية ,شمالية,500,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3000000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية غربية,276,-,6,1,4,-,1,1,1,0,1,1,0,0,1,0,1160000
فيلا,سكني, الرياض , حي اشبيلية ,شرقية,388,-,5,1,5+,-,1,1,1,1,0,1,0,0,1,0,2200000
فيلا,سكني, الرياض , حي اشبيلية ,جنوبية,312,-,1,3,5+,-,0,0,0,0,0,0,0,0,0,0,2000000
أرض,تجاري, الرياض , حي المونسية ,شرقية,2115,4200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8883000
أرض,سكني, الرياض , حي الضباط ,جنوبية شرقية,3500,7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24500000
فيلا,سكني, الرياض , حي اليرموك ,شمالية,250,-,4,2,4,-,1,1,1,0,1,1,0,0,1,1,1900000
فيلا,سكني, الرياض , حي القدس ,شمالية,900,-,6,2,5+,-,1,1,1,1,1,1,1,0,1,0,4800000
أرض,سكني, الرياض , حي عريض ,شمالية غربية,900,1450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1305000
أرض,سكني, الرياض , حي عريض ,شمالية غربية,432,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2592000
أرض,سكني, الرياض , حي عكاظ ,جنوبية,756,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284256
أرض,سكني, حريملاء, الرياض ,جنوبية,375,4700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1762500
أرض,تجاري وسكني, حريملاء, الرياض ,شمالية,840,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1512000
